utterance,visId,gt,dataset,gtId,id
Could you present a line graph that shows the mean of sells over date at a monthly interval? ,exp-171,"{'mark': {'type': 'line'}, 'encoding': {'x': {'timeUnit': 'month', 'field': 'date'}, 'y': {'aggregate': 'mean', 'field': 'sell'}}, 'data': {'url': 'currency.json'}}",currency,exp-171,exp-171
Could you please create vertical error bar charts showing the range of woman_child_repression for each area name with points showing the mean value?,exp-172,"{'layer': [{'mark': 'errorbar', 'encoding': {'y': {'field': 'woman_child_repression', 'type': 'quantitative', 'scale': {'zero': False}}, 'x': {'field': 'area_name', 'type': 'ordinal'}}}, {'mark': {'type': 'point', 'filled': True}, 'encoding': {'y': {'field': 'woman_child_repression', 'type': 'quantitative', 'aggregate': 'mean'}, 'x': {'field': 'area_name', 'type': 'ordinal'}}}], 'data': {'url': 'crime_data_bangladesh.json'}}",crime_data_bangladesh,exp-172,exp-172
Plot a bar chart showing the mean of reigns versus names?,exp-173,"{'mark': {'type': 'bar'}, 'encoding': {'x': {'field': 'name'}, 'y': {'aggregate': 'mean', 'field': 'reign'}}, 'data': {'url': 'wrestler.json'}}",wrestler,exp-173,exp-173
"Generate a point visualization with volatile_acidity binned on the x-axis, citric_acid binned on the y-axis, and the count of points represented by the size of each point.",exp-174,"{'mark': {'type': 'point'}, 'encoding': {'x': {'bin': {'maxbins': 10}, 'field': 'volatile_acidity'}, 'y': {'bin': {'maxbins': 10}, 'field': 'citric_acid'}, 'size': {'aggregate': 'count'}}, 'data': {'url': 'Wine_Quality_Data.json'}}",wine_quality_data,exp-174,exp-174
"Plot a box plot to show the median, min, and max of recovery_cases_arms_act for different area names.",exp-175,"{'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'y': {'field': 'area_name', 'type': 'nominal'}, 'x': {'field': 'recovery_cases_arms_act', 'type': 'quantitative', 'scale': {'zero': False}}}, 'data': {'url': 'crime_data_bangladesh.json'}}",crime_data_bangladesh,exp-175,exp-175
Create a line chart with stroke circles to display the average adj_tempo_rank by year and conference.,exp-176,"{'mark': {'type': 'line', 'point': {'filled': False, 'fill': 'white'}}, 'encoding': {'x': {'timeUnit': 'year', 'field': 'season'}, 'y': {'aggregate': 'mean', 'field': 'adj_tempo_rank', 'type': 'quantitative'}, 'color': {'field': 'conference', 'type': 'nominal'}}, 'data': {'url': 'Kenpom-leaky.json'}}",kenpom-leaky,exp-176,exp-176
Visualize pts_max by plotting a histogram with the count of each bin sorted in descending order.,exp-177,"{'mark': {'type': 'bar'}, 'encoding': {'x': {'bin': True, 'field': 'pts_max', 'type': 'ordinal', 'sort': {'op': 'count', 'order': 'descending'}}, 'y': {'aggregate': 'count'}}, 'data': {'url': 'nba_cleaned.json'}}",nba_cleaned,exp-177,exp-177
"Draw a point chart to compare dacoity, recovery_cases_explosive, and binned theft cases.",exp-178,"{'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'dacoity', 'type': 'quantitative'}, 'y': {'field': 'recovery_cases_explosive', 'type': 'quantitative'}, 'size': {'bin': True, 'field': 'theft'}}, 'data': {'url': 'crime_data_bangladesh.json'}}",crime_data_bangladesh,exp-178,exp-178
"Visualize the relationship between min weight and other pets friendly, with point size indicating binned max lift expectancy.",exp-179,"{'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'other_pets_friendly', 'type': 'quantitative'}, 'y': {'field': 'min_weight', 'type': 'quantitative'}, 'size': {'bin': True, 'field': 'max_life_expectancy'}}, 'data': {'url': 'cat_breeds.json'}}",cat_breeds,exp-179,exp-179
"Can you produce a bar chart showing the sum of avg grade in Q1 for different avg grade in Q2, sorted from the lowest to highest?",exp-180,"{'mark': {'type': 'bar'}, 'encoding': {'y': {'field': 'avg_grade_q2', 'type': 'nominal', 'sort': {'op': 'sum', 'field': 'avg_grade_q1'}}, 'x': {'aggregate': 'sum', 'field': 'avg_grade_q1'}}, 'data': {'url': 'Students_gamification_grades.json'}}",students_gamification_grades,exp-180,exp-180
Generate a histogram of burglary using a maximum of 20 bins.,exp-181,"{'mark': {'type': 'bar'}, 'encoding': {'x': {'bin': {'maxbins': 20}, 'field': 'burglary'}, 'y': {'aggregate': 'count'}}, 'data': {'url': 'crime_data_bangladesh.json'}}",crime_data_bangladesh,exp-181,exp-181
"Create a horizontal box plot displaying the obs values for different obs flag, with a tooltip of mean values when hovering?",exp-182,"{'mark': {'type': 'boxplot'}, 'encoding': {'y': {'field': 'obs_flag', 'type': 'nominal'}, 'x': {'field': 'obs_value', 'type': 'quantitative', 'scale': {'zero': False}}, 'tooltip': {'field': 'obs_value', 'aggregate': 'mean'}}, 'data': {'url': 'prc_hpi_a__custom_5188771_page_linear.json'}}",prc_hpi_a__custom_5188771_page_linear,exp-182,exp-182
"Create a visualization of annual interchanges for different main services, which will show the mean values upon hovering?",exp-183,"{'mark': {'type': 'boxplot'}, 'encoding': {'y': {'field': 'main_services', 'type': 'nominal'}, 'x': {'field': 'annual_interchanges', 'type': 'quantitative', 'scale': {'zero': False}}, 'tooltip': {'field': 'annual_interchanges', 'aggregate': 'mean'}}, 'data': {'url': 'station.json'}}",station,exp-183,exp-183
Draw a scatterplot without grids to compare adj_tempo_rank and adj_d.,exp-184,"{'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'adj_tempo_rank', 'type': 'quantitative'}, 'y': {'field': 'adj_d', 'type': 'quantitative'}}, 'config': {'axis': {'domain': False, 'grid': False}}, 'data': {'url': 'Kenpom-leaky.json'}}",kenpom-leaky,exp-184,exp-184
Generate a bar chart illustrating the mean of damage dealt in comparison to positions?,exp-185,"{'mark': {'type': 'bar'}, 'encoding': {'x': {'field': 'position'}, 'y': {'aggregate': 'mean', 'field': 'damage dealt'}}, 'data': {'url': 'ROV.json'}}",rov,exp-185,exp-185
Make a bar chart to demonstrate the unique values for apartment type codes against different bathroom counts.,exp-186,"{'mark': {'type': 'bar'}, 'encoding': {'x': {'field': 'bathroom_count'}, 'y': {'aggregate': 'distinct', 'field': 'apt_type_code'}}, 'data': {'url': 'apartments.json'}}",apartments,exp-186,exp-186
Plot a histogram of play ids without any gaps between the bars?,exp-187,"{'mark': {'type': 'bar', 'binSpacing': 0}, 'encoding': {'x': {'bin': {'maxbins': 10}, 'field': 'player id'}, 'y': {'aggregate': 'count'}}, 'data': {'url': 'ROV.json'}}",rov,exp-187,exp-187
"Please make a stacked area chart to visualize the sum of pts_max versus year, with colors encoding team names.",exp-188,"{'width': 300, 'height': 200, 'mark': {'type': 'area'}, 'encoding': {'x': {'timeUnit': 'yearmonth', 'field': 'season', 'axis': {'format': '%Y'}}, 'y': {'aggregate': 'sum', 'field': 'pts_max'}, 'color': {'field': 'team', 'scale': {'scheme': 'category20b'}}}, 'data': {'url': 'nba_cleaned.json'}}",nba_cleaned,exp-188,exp-188
Show the range of speedy_trial for each area with vertical error bar charts and include points showing the mean speedy_trial.,exp-189,"{'layer': [{'mark': 'errorbar', 'encoding': {'y': {'field': 'speedy_trial', 'type': 'quantitative', 'scale': {'zero': False}}, 'x': {'field': 'area_name', 'type': 'ordinal'}}}, {'mark': {'type': 'point', 'filled': True}, 'encoding': {'y': {'field': 'speedy_trial', 'type': 'quantitative', 'aggregate': 'mean'}, 'x': {'field': 'area_name', 'type': 'ordinal'}}}], 'data': {'url': 'crime_data_bangladesh.json'}}",crime_data_bangladesh,exp-189,exp-189
Create a histogram with a bar width of 35 illustrating property ids?,exp-190,"{'width': {'step': 35}, 'mark': {'type': 'bar'}, 'encoding': {'x': {'field': 'property_id'}, 'y': {'aggregate': 'count'}}, 'data': {'url': 'residents.json'}}",residents,exp-190,exp-190
"Create a histogram to visualize the distribution of buying, with a bin space of 2, sorted in descending order on the x-axis.",exp-191,"{'mark': {'type': 'bar', 'binSpacing': 2}, 'encoding': {'x': {'bin': True, 'field': 'buying', 'scale': {'reverse': True}}, 'y': {'aggregate': 'count'}}, 'data': {'url': 'currency.json'}}",currency,exp-191,exp-191
Represent the practice example scores using a point chart.,exp-192,"{'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'practice_exam', 'type': 'quantitative'}}, 'data': {'url': 'Students_gamification_grades.json'}}",students_gamification_grades,exp-192,exp-192
Construct an area chart to show the density of european (eu-27 plus efta 2011-2030).,exp-193,"{'width': 400, 'height': 100, 'transform': [{'density': 'european (eu-27 plus efta 2011-2030) std million'}], 'mark': {'type': 'area'}, 'encoding': {'x': {'field': 'value', 'type': 'quantitative'}, 'y': {'field': 'density', 'type': 'quantitative'}}, 'data': {'url': 'standard_populations_19_age_groups.json'}}",standard_populations_19_age_groups,exp-193,exp-193
"Generate a horizontal box plot displaying median, lower and upper quartiles of the distribution of staff ids.",exp-194,"{'mark': {'type': 'boxplot', 'extent': 1.5, 'median': {'color': 'red'}, 'ticks': True}, 'encoding': {'x': {'field': 'staff_id', 'type': 'quantitative', 'scale': {'zero': False}}}, 'data': {'url': 'project_staff.json'}}",project_staff,exp-194,exp-194
A bar chart with clubs on x and mean of shots per game on y.,exp-195,"{'mark': {'type': 'bar'}, 'encoding': {'x': {'field': 'club'}, 'y': {'aggregate': 'mean', 'field': 'shotspergame'}}, 'data': {'url': 'EPL_Soccer_MLR_LR.json'}}",epl_soccer_mlr_lr,exp-195,exp-195
"Draw a visualization with video views and subscriber counts on the axes, with point opacity showing binned ranks.",exp-196,"{'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'subscriber_count', 'type': 'quantitative'}, 'y': {'field': 'video_views', 'type': 'quantitative'}, 'opacity': {'bin': True, 'field': 'rank'}}, 'data': {'url': 'top-300-youtube-channels.json'}}",top-300-youtube-channels,exp-196,exp-196
Illustrate the total minutes_played_per_game for each team over the years through a normalized stacked area chart.,exp-197,"{'width': 300, 'height': 200, 'mark': {'type': 'area'}, 'encoding': {'x': {'timeUnit': 'yearmonth', 'field': 'season', 'axis': {'domain': False, 'format': '%Y'}}, 'y': {'aggregate': 'sum', 'field': 'minutes_played_per_game', 'stack': 'normalize'}, 'color': {'field': 'team', 'scale': {'scheme': 'category20b'}}}, 'data': {'url': 'nba_cleaned.json'}}",nba_cleaned,exp-197,exp-197
What are the average of high values for each month? Draw a bar chart with a red line showing the average value.,exp-198,"{'layer': [{'mark': 'bar', 'encoding': {'x': {'timeUnit': 'month', 'field': 'date', 'type': 'ordinal'}, 'y': {'aggregate': 'mean', 'field': 'high', 'type': 'quantitative'}}}, {'mark': 'rule', 'encoding': {'y': {'aggregate': 'mean', 'field': 'high', 'type': 'quantitative'}, 'color': {'value': 'firebrick'}, 'size': {'value': 3}}}], 'data': {'url': 'Brazilian Corn Futures.json'}}",brazilian corn futures,exp-198,exp-198
Could you please make a normalized stacked area chart demonstrating the sum of sells for each currency over the years?,exp-199,"{'width': 300, 'height': 200, 'mark': {'type': 'area'}, 'encoding': {'x': {'timeUnit': 'yearmonth', 'field': 'date', 'axis': {'domain': False, 'format': '%Y'}}, 'y': {'aggregate': 'sum', 'field': 'sell', 'stack': 'normalize'}, 'color': {'field': 'currency', 'scale': {'scheme': 'category20b'}}}, 'data': {'url': 'currency.json'}}",currency,exp-199,exp-199
"Visualize the share in relation to season year, with distinct colors for each team.",exp-200,"{'mark': {'type': 'line'}, 'encoding': {'x': {'field': 'season', 'type': 'temporal'}, 'y': {'field': 'share', 'type': 'quantitative'}, 'color': {'field': 'team', 'type': 'nominal'}}, 'data': {'url': 'nba_cleaned.json'}}",nba_cleaned,exp-200,exp-200
"Draw a bubbleplot with sep on the x-axis, aug on the y-axis, and binned jun on the size of the bubbles.",exp-201,"{'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'aug', 'type': 'quantitative'}, 'y': {'field': 'sep', 'type': 'quantitative'}, 'size': {'field': 'jun', 'type': 'quantitative'}}, 'data': {'url': 'rainfaLLIndia.json'}}",rainfallindia,exp-201,exp-201
Create a strip plot to illustrate rention cost.,exp-202,"{'mark': {'type': 'tick'}, 'encoding': {'x': {'field': 'retention cost', 'type': 'quantitative'}}, 'data': {'url': 'Refined_TK_data.json'}}",refined_tk_data,exp-202,exp-202
"Draw a scatterplot visualizing the relationship between subscriber count and rank, with point size encoding binned video counts.",exp-203,"{'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'subscriber_count', 'type': 'quantitative'}, 'y': {'field': 'rank', 'type': 'quantitative'}, 'size': {'bin': True, 'field': 'video_count'}}, 'data': {'url': 'top-300-youtube-channels.json'}}",top-300-youtube-channels,exp-203,exp-203
"Draw a bar chart with the total player ids on the x-axis and the different types of position on the y-axis, arranged in ascending order.",exp-204,"{'mark': {'type': 'bar'}, 'encoding': {'y': {'field': 'position', 'type': 'nominal', 'sort': {'op': 'sum', 'field': 'player id'}}, 'x': {'aggregate': 'sum', 'field': 'player id'}}, 'data': {'url': 'ROV.json'}}",rov,exp-204,exp-204
Produce a vertical error bar visualization of pen goals conceded for each foot type with black points representing the mean value? ,exp-205,"{'layer': [{'mark': 'errorbar', 'encoding': {'y': {'field': 'pen_goals_conceded', 'type': 'quantitative', 'scale': {'zero': False}}, 'x': {'field': 'foot', 'type': 'ordinal'}}}, {'mark': {'type': 'point', 'filled': True, 'color': 'black'}, 'encoding': {'y': {'field': 'pen_goals_conceded', 'type': 'quantitative', 'aggregate': 'mean'}, 'x': {'field': 'foot', 'type': 'ordinal'}}}], 'data': {'url': 'MLS_pl_2021_stats_w_2022_salaries.json'}}",mls_pl_2021_stats_w_2022_salaries,exp-205,exp-205
Show the distribution of damaga taken with a radial plot.,exp-206,"{'layer': [{'mark': {'type': 'arc', 'stroke': 'white', 'tooltip': True}}, {'mark': {'type': 'text', 'radiusOffset': 15, 'align': 'right'}, 'encoding': {'text': {'bin': True, 'field': 'damage taken'}, 'angle': {'bin': True, 'field': 'damage taken', 'scale': {'range': [90, 450]}}}}], 'encoding': {'theta': {'bin': True, 'field': 'damage taken'}, 'radius': {'aggregate': 'count', 'scale': {'type': 'sqrt'}}}, 'config': {'view': {'stroke': None}}, 'data': {'url': 'ROV.json'}}",rov,exp-206,exp-206
Create a line chart with points to show the average sos_adj_d_rank for each year in different conferences?,exp-207,"{'mark': {'type': 'line', 'point': True}, 'encoding': {'x': {'timeUnit': 'year', 'field': 'season'}, 'y': {'aggregate': 'mean', 'field': 'sos_adj_o_rank', 'type': 'quantitative'}, 'color': {'field': 'conference', 'type': 'nominal'}}, 'data': {'url': 'Kenpom-leaky.json'}}",kenpom-leaky,exp-207,exp-207
Make a stacked bar chart of the total amount of obs values in each obs flag.,exp-208,"{'mark': {'type': 'bar'}, 'encoding': {'x': {'aggregate': 'sum', 'field': 'obs_value'}, 'color': {'field': 'obs_flag'}}, 'data': {'url': 'prc_hpi_a__custom_5188771_page_linear.json'}}",prc_hpi_a__custom_5188771_page_linear,exp-208,exp-208
Draw a scatterplot to visualize the relationship between small and mirco business with a trend line showing the correlation.,exp-209,"{'layer': [{'mark': {'type': 'point', 'filled': True}, 'encoding': {'x': {'field': 'micro business', 'type': 'quantitative'}, 'y': {'field': 'small business', 'type': 'quantitative'}}}, {'mark': {'type': 'line'}, 'transform': [{'regression': 'small business', 'on': 'micro business'}], 'encoding': {'x': {'field': 'micro business', 'type': 'quantitative'}, 'y': {'field': 'small business', 'type': 'quantitative'}}}, {'transform': [{'regression': 'small business', 'on': 'micro business', 'params': True}, {'calculate': ""'R²: '+format(datum.rSquared, '.2f')"", 'as': 'R2'}], 'mark': {'type': 'text', 'color': 'firebrick', 'x': 'width', 'align': 'right', 'y': -5}, 'encoding': {'text': {'type': 'nominal', 'field': 'R2'}}}], 'data': {'url': 'google-trends-microbusiness-smallbusiness-internetbusiness-sidejob.json'}}",google-trends-microbusiness-smallbusiness-internetbusiness-sidejob,exp-209,exp-209
"Create a visual representation of values, with the data grouped as ordinal?",exp-210,"{'mark': {'type': 'bar'}, 'encoding': {'x': {'bin': True, 'field': 'value', 'type': 'ordinal'}, 'y': {'aggregate': 'count'}}, 'data': {'url': 'real_interest_rate_by_country.json'}}",real_interest_rate_by_country,exp-210,exp-210
Can you draw a horizontal bar chart with color showing the position that illustrates the average number of games played broken down by foot and position?,exp-211,"{'mark': {'type': 'bar'}, 'encoding': {'x': {'aggregate': 'mean', 'field': 'games_played'}, 'y': {'field': 'foot'}, 'color': {'field': 'position'}}, 'data': {'url': 'MLS_pl_2021_stats_w_2022_salaries.json'}}",mls_pl_2021_stats_w_2022_salaries,exp-211,exp-211
"Visualize the sum of gold for each damage dealt, ordered from highest to lowest, as a bar chart? ",exp-212,"{'height': {'step': 17}, 'mark': {'type': 'bar'}, 'encoding': {'y': {'field': 'damage dealt', 'type': 'ordinal', 'sort': '-x'}, 'x': {'aggregate': 'sum', 'field': 'gold'}}, 'data': {'url': 'ROV.json'}}",rov,exp-212,exp-212
Please create a scatterplot to display the relationship between diameters and price.,exp-213,"{'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'diameter', 'type': 'quantitative'}, 'y': {'field': 'price_cad', 'type': 'quantitative'}}, 'data': {'url': 'pizza_v2.json'}}",pizza_v2,exp-213,exp-213
Plot the low values from highest to lowest in a strip plot. ,exp-214,"{'mark': {'type': 'tick'}, 'encoding': {'x': {'field': 'low', 'type': 'quantitative', 'sort': 'descending'}}, 'data': {'url': 'Brazilian Corn Futures.json'}}",brazilian corn futures,exp-214,exp-214
"Create a set of small multiple scatterplots showing the relationship between diff_with_prev and diff_with_predict, broken by each year.",exp-215,"{'mark': {'type': 'point'}, 'encoding': {'column': {'field': 'year'}, 'x': {'field': 'diff_with_predict', 'type': 'nominal', 'scale': {'zero': False}}, 'y': {'field': 'diff_with_prev', 'type': 'quantitative', 'scale': {'zero': False}}, 'opacity': {'value': 1}}, 'data': {'url': 'CPI.json'}}",cpi,exp-215,exp-215
"A visualization with point mark, blocks_per_game on x, and points_per_game on y.",exp-216,"{'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'blocks_per_game', 'type': 'quantitative'}, 'y': {'field': 'points_per_game', 'type': 'quantitative'}}, 'data': {'url': 'nba_cleaned.json'}}",nba_cleaned,exp-216,exp-216
Produce a point diagram that illustrates the returns. ,exp-217,"{'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'returns', 'type': 'quantitative'}}, 'data': {'url': 'Brazilian Corn Futures.json'}}",brazilian corn futures,exp-217,exp-217
"Generate a scatterplot with minutes to goal ratio and previous club cost data, displaying interactive tooltips when hovering.",exp-218,"{'mark': {'type': 'point', 'tooltip': True}, 'encoding': {'x': {'field': 'previousclubcost', 'type': 'quantitative'}, 'y': {'field': 'minutestogoalratio', 'type': 'quantitative'}}, 'data': {'url': 'EPL_Soccer_MLR_LR.json'}}",epl_soccer_mlr_lr,exp-218,exp-218
Could you please create a pie chart that shows the distribution of clubs?,exp-219,"{'mark': {'type': 'arc'}, 'encoding': {'theta': {'type': 'quantitative', 'aggregate': 'count'}, 'color': {'field': 'club', 'type': 'nominal'}}, 'data': {'url': 'EPL_Soccer_MLR_LR.json'}}",epl_soccer_mlr_lr,exp-219,exp-219
"Draw a vertical box plot to visualize the median, minimum, and maximum of prices for different names.",exp-220,"{'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'x': {'field': 'name', 'type': 'nominal'}, 'color': {'field': 'name', 'type': 'nominal', 'legend': None}, 'y': {'field': 'price', 'type': 'quantitative', 'scale': {'zero': False}}}, 'data': {'url': 'wine.json'}}",wine,exp-220,exp-220
Draw a visualization that shows the distribution of team values and matches with text on each cell indicating the count.,exp-221,"{'transform': [{'aggregate': [{'op': 'count', 'as': 'num'}], 'groupby': ['team', 'match']}], 'encoding': {'y': {'field': 'team', 'type': 'ordinal'}, 'x': {'field': 'match', 'type': 'ordinal'}}, 'layer': [{'mark': 'rect', 'encoding': {'color': {'field': 'num', 'type': 'quantitative', 'legend': {'direction': 'horizontal', 'gradientLength': 120}}}}, {'mark': 'text', 'encoding': {'text': {'field': 'num', 'type': 'quantitative'}, 'color': {'condition': {'test': ""datum['num'] < 40"", 'value': 'black'}, 'value': 'white'}}}], 'config': {'axis': {'grid': True, 'tickBand': 'extent'}}, 'data': {'url': 'world_cup_2007.json'}}",world_cup_2007,exp-221,exp-221
Create box plots to show the adj d of each conference?,exp-222,"{'mark': {'type': 'boxplot'}, 'encoding': {'y': {'field': 'conference', 'type': 'nominal'}, 'x': {'field': 'adj_d', 'type': 'quantitative', 'scale': {'zero': False}}}, 'data': {'url': 'Kenpom-leaky.json'}}",kenpom-leaky,exp-222,exp-222
Could you please create a strip plot to display the relationship between shedding and general health?,exp-223,"{'mark': {'type': 'tick'}, 'encoding': {'x': {'field': 'shedding', 'type': 'quantitative'}, 'y': {'field': 'general_health', 'type': 'nominal'}}, 'data': {'url': 'cat_breeds.json'}}",cat_breeds,exp-223,exp-223
Visualize the adj_d and luck counts in a heatmap.,exp-224,"{'mark': {'type': 'rect'}, 'width': 300, 'height': 200, 'encoding': {'x': {'bin': {'maxbins': 60}, 'field': 'luck', 'type': 'quantitative'}, 'y': {'bin': {'maxbins': 40}, 'field': 'adj_d', 'type': 'quantitative'}, 'color': {'aggregate': 'count', 'type': 'quantitative'}}, 'config': {'view': {'stroke': 'transparent'}}, 'data': {'url': 'Kenpom-leaky.json'}}",kenpom-leaky,exp-224,exp-224
"A scatterplot showing specimens on x, percentage on y, and variant names on color.",exp-225,"{'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'specimens', 'type': 'quantitative'}, 'y': {'field': 'percentage', 'type': 'quantitative'}, 'color': {'field': 'variant_name', 'type': 'nominal'}}, 'data': {'url': 'covid19_variant.json'}}",covid19_variant,exp-225,exp-225
Please create a graph depicting the count and causal.,exp-226,"{'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'count', 'type': 'quantitative'}, 'y': {'field': 'casual', 'type': 'quantitative'}}, 'data': {'url': 'yulu_bike_sharing_dataset.json'}}",yulu_bike_sharing_dataset,exp-226,exp-226
Create a strip plot chart to illustrate the average damage taken of each position.,exp-227,"{'mark': {'type': 'rule'}, 'encoding': {'y': {'field': 'damage taken', 'type': 'quantitative', 'aggregate': 'mean'}, 'size': {'value': 2}, 'color': {'field': 'position', 'type': 'nominal'}}, 'data': {'url': 'ROV.json'}}",rov,exp-227,exp-227
Draw a graph with an error bar for the quality and a black dot to indicate the mean value of quality.,exp-228,"{'layer': [{'mark': 'errorbar', 'encoding': {'x': {'field': 'quality', 'type': 'quantitative', 'scale': {'zero': False}}}}, {'mark': {'type': 'point', 'filled': True, 'color': 'black'}, 'encoding': {'x': {'field': 'quality', 'aggregate': 'mean', 'type': 'quantitative'}}}], 'data': {'url': 'Wine_Quality_Data.json'}}",wine_quality_data,exp-228,exp-228
Draw a histogram that displays the occurrence of teams from the most popular to the least popular.,exp-229,"{'mark': {'type': 'bar'}, 'encoding': {'x': {'field': 'team', 'sort': {'op': 'count', 'order': 'descending'}}, 'y': {'aggregate': 'count'}}, 'data': {'url': 'auction_2023.json'}}",auction_2023,exp-229,exp-229
Visualize the sales versus discounts by creating a strip plot with grids.,exp-230,"{'mark': {'type': 'tick'}, 'encoding': {'x': {'field': 'sales', 'type': 'quantitative'}, 'y': {'field': 'discount', 'type': 'nominal', 'axis': {'grid': True, 'tickBand': 'extent'}}}, 'data': {'url': 'SampleSuperstore.json'}}",samplesuperstore,exp-230,exp-230
"Draw a stacked bar chart with typename on x, sum of price on y, and op systems on color.",exp-231,"{'mark': {'type': 'bar'}, 'encoding': {'x': {'field': 'typename'}, 'y': {'aggregate': 'sum', 'field': 'price'}, 'color': {'field': 'opsys'}}, 'data': {'url': 'laptopData.json'}}",laptopdata,exp-231,exp-231
Create a density area chart to illustrate the distribution of longitude.,exp-232,"{'width': 400, 'height': 100, 'transform': [{'density': 'longitude'}], 'mark': {'type': 'area'}, 'encoding': {'x': {'field': 'value', 'type': 'quantitative'}, 'y': {'field': 'density', 'type': 'quantitative'}}, 'data': {'url': 'NYPD_Shooting_Incident_Data__Year_To_Date_.json'}}",nypd_shooting_incident_data__year_to_date_,exp-232,exp-232
Create a histogram with adj_d_rank binned on x-axis and count on y-axis. Sorted from highest to lowest count.,exp-233,"{'mark': {'type': 'bar'}, 'encoding': {'x': {'bin': True, 'field': 'adj_d_rank', 'type': 'ordinal', 'sort': {'op': 'count', 'order': 'descending'}}, 'y': {'aggregate': 'count'}}, 'data': {'url': 'Kenpom-leaky.json'}}",kenpom-leaky,exp-233,exp-233
"Make a stacked bar chart with rounded corners, displaying the count of different levels and positions and color-coded by positions. ",exp-234,"{'mark': {'type': 'bar'}, 'encoding': {'x': {'field': 'level', 'type': 'nominal'}, 'y': {'aggregate': 'count'}, 'color': {'field': 'position'}}, 'config': {'bar': {'cornerRadiusTopLeft': 8, 'cornerRadiusTopRight': 8}}, 'data': {'url': 'ROV.json'}}",rov,exp-234,exp-234
Could you please draw a stacked bar chart that displays the sum of diameters for each extra sause type?,exp-235,"{'mark': {'type': 'bar'}, 'encoding': {'x': {'aggregate': 'sum', 'field': 'diameter'}, 'color': {'field': 'extra_sauce'}}, 'data': {'url': 'pizza_v2.json'}}",pizza_v2,exp-235,exp-235
Produce a strip plot to show video counts.,exp-236,"{'mark': {'type': 'tick'}, 'encoding': {'x': {'field': 'video_count', 'type': 'quantitative'}}, 'data': {'url': 'top-300-youtube-channels.json'}}",top-300-youtube-channels,exp-236,exp-236
Draw a scatterplot of damage token and player id with a trendline showing the correlation? ,exp-237,"{'layer': [{'mark': {'type': 'point', 'filled': True}, 'encoding': {'x': {'field': 'damage taken', 'type': 'quantitative'}, 'y': {'field': 'player id', 'type': 'quantitative'}}}, {'mark': {'type': 'line', 'color': 'firebrick'}, 'transform': [{'regression': 'player id', 'on': 'damage taken'}], 'encoding': {'x': {'field': 'damage taken', 'type': 'quantitative'}, 'y': {'field': 'player id', 'type': 'quantitative'}}}, {'transform': [{'regression': 'player id', 'on': 'damage taken', 'params': True}, {'calculate': ""'R²: '+format(datum.rSquared, '.2f')"", 'as': 'R2'}], 'mark': {'type': 'text', 'color': 'firebrick', 'x': 'width', 'align': 'right', 'y': -5}, 'encoding': {'text': {'type': 'nominal', 'field': 'R2'}}}], 'data': {'url': 'ROV.json'}}",rov,exp-237,exp-237
"Draw a scatterplot with max wind speed and max dew point as the axes, and the size representing the counts, binning both continous variables!",exp-238,"{'mark': {'type': 'point'}, 'encoding': {'x': {'bin': {'maxbins': 10}, 'field': 'max_dew_point_f'}, 'y': {'bin': {'maxbins': 10}, 'field': 'max_wind_speed_mph'}, 'size': {'aggregate': 'count'}}, 'data': {'url': 'weather.json'}}",weather,exp-238,exp-238
A boxplot of family friendly values.,exp-239,"{'mark': {'type': 'boxplot'}, 'encoding': {'x': {'field': 'family_friendly', 'type': 'quantitative', 'scale': {'zero': False}}}, 'data': {'url': 'cat_breeds.json'}}",cat_breeds,exp-239,exp-239
Create a chart to explore the correlation between silver and rank with binned bronze values on opacity.,exp-240,"{'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'silver', 'type': 'quantitative'}, 'y': {'field': 'rank', 'type': 'quantitative'}, 'opacity': {'bin': True, 'field': 'bronze'}}, 'data': {'url': 'Valorant_pc_game_players.json'}}",valorant_pc_game_players,exp-240,exp-240
"Generate a scatterplot with min height as the x-axis, max height as the y-axis, and intelligence as colors of the points.",exp-241,"{'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'min_weight', 'type': 'quantitative'}, 'y': {'field': 'max_weight', 'type': 'quantitative'}, 'color': {'field': 'intelligence', 'type': 'ordinal'}}, 'data': {'url': 'cat_breeds.json'}}",cat_breeds,exp-241,exp-241
Show the distribution of votes_up by a strip plot.,exp-242,"{'mark': {'type': 'tick'}, 'encoding': {'x': {'field': 'votes_up', 'type': 'quantitative'}}, 'data': {'url': 'elden_ring_steam_reviews.json'}}",elden_ring_steam_reviews,exp-242,exp-242
